mempool_tx_hash,mempool_from,mempool_to,mempool_contract_name,mempool_detected_at,mempool_gas_price,mempool_gas,mempool_nonce,mempool_max_fee_per_gas,mempool_max_priority_fee,mempool_value,mempool_input_len,mempool_decoded,mempool_side,mempool_token_id,mempool_maker_amount,mempool_taker_amount,mempool_size,mempool_price,mempool_role,mempool_maker_address,mempool_taker_address,mempool_signer_address,mempool_expiration,mempool_order_nonce,mempool_fee_rate_bps,mempool_fill_amount,mempool_order_count,mempool_function_sig,mempool_signature_type,mempool_salt_hex,livedata_detected_at,livedata_side,livedata_size,livedata_price,polygon_logs_detected_at,data_api_detected_at,data_api_side,data_api_size,data_api_price,first_detector,is_confirmed,mempool_to_confirm_ms,outcome
0x3db77a3553df162d35eb1f819803dbeffa4342e67198c9dddb1c27aa857bdf86,0xd2add5493c7987995a472dbf90513d6d8f0d2367,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:13.883,0xba43b74000,0x6ddd00,5864706,0xba43b74000,0x826299e00,0x0,14948,false,,,,,0.000000,0.000000,,,,,0,,0,,0,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,
0xb4d3e158b062439cc68470a4808013dc202d3fb09df114a4752c0857aa0ba9dd,0x5b6e4ef2952398983ccee7e1efa0ff0d3cf7b12a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:14.126,0xba43b74000,0xdbba0,6547615,0xba43b74000,0x826299e00,0x0,1508,true,BUY,65986922115863579114755912617114844940050518557020869496195686877485155381572,21600000,60000000,2.480625,0.360000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,2480625,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Up
0xf55fbf2cecfafb41f04d775d26393dce03bdf4def0e9a10e94f9ee785308f3a3,0x19a130e5ec3167d53a5a36f59f48a46d48457425,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:16.898,0xba43b74000,0x124f80,5865211,0xba43b74000,0x826299e00,0x0,2148,true,BUY,65986922115863579114755912617114844940050518557020869496195686877485155381572,25200000,60000000,2.100000,0.420000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,2100000,3,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Up
0x238af983869aa0f4ca20cb22cb7cce19d931c423004421f4ca96457ed2c1cb8a,0x4bdb16a35fc5fdc4a8701bc5b688d254e99027c0,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:17.296,0xba43b74000,0xdbba0,5864637,0xba43b74000,0x826299e00,0x0,1508,true,BUY,65986922115863579114755912617114844940050518557020869496195686877485155381572,25200000,60000000,8.400000,0.420000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,8400000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Up
0x077afe690de798c393ff260246ed48753d2bb9596a478c177197113220dbc918,0x5b6e4ef2952398983ccee7e1efa0ff0d3cf7b12a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:25.835,0xba43b74000,0xdbba0,6547625,0xba43b74000,0x826299e00,0x0,1508,true,BUY,5146514638677804853522457009529086926500906371708548149928259669793831676478,33600000,60000000,8.000000,0.560000,TAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,8000000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Down
0x468e10c154b0ef8170a35cf0c11e825dd8e3fc1dcbde621f657dc1aa954f85b3,0x4595a3ad508adf916ab082d0438515b190f41c84,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:26.242,0xba43b74000,0xdbba0,6547511,0xba43b74000,0x826299e00,0x0,1508,true,BUY,5146514638677804853522457009529086926500906371708548149928259669793831676478,33600000,60000000,4.480000,0.560000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,4480000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Down
0x0811a82fc8a98d76ef12617f8c234e15154949bd638c4f787d86c90e70ba7b04,0x19a130e5ec3167d53a5a36f59f48a46d48457425,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:26.289,0xba43b74000,0xdbba0,5865218,0xba43b74000,0x826299e00,0x0,1508,true,BUY,5146514638677804853522457009529086926500906371708548149928259669793831676478,33600000,60000000,8.400000,0.560000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,8400000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Down
0x29796748fc4ce75419c50b08121f74392893fe1e92bba82d6a55229b0c5c0cb9,0x0c802c7429d3e2c5994db49bf6a7a6af2deaa998,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:26.711,0xba43b74000,0xdbba0,6535771,0xba43b74000,0x826299e00,0x0,1508,true,BUY,5146514638677804853522457009529086926500906371708548149928259669793831676478,33600000,60000000,1.680000,0.560000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,1680000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Down
0x935423e88777a7bc5712a2367bfbcd927b8353e92bfdfb319c14bdc3999c4255,0x5b6e4ef2952398983ccee7e1efa0ff0d3cf7b12a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:26.734,0xba43b74000,0xdbba0,6547626,0xba43b74000,0x826299e00,0x0,1508,true,BUY,5146514638677804853522457009529086926500906371708548149928259669793831676478,33600000,60000000,4.480000,0.560000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,4480000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Down
0x26ba97a72b6733cf963d26023c733246bf07ca7818327875975688cf5a55b51f,0x4bdb16a35fc5fdc4a8701bc5b688d254e99027c0,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,14:00:26.820,0xba43b74000,0xdbba0,5864644,0xba43b74000,0x826299e00,0x0,1508,true,BUY,5146514638677804853522457009529086926500906371708548149928259669793831676478,33600000,60000000,5.600000,0.560000,MAKER,0x818f214c7f3e479cce1d964d53fe3db7297558cb,0x0000000000000000000000000000000000000000,0xe02d7c8a9f60dd5e69def646685776ab3751aca1,0,,0,5600000,2,fillOrders,0,,,,0.000000,0.000000,,,,0.000000,0.000000,MEMPOOL,false,0,Down
