tx_hash,side,mempool_size,mempool_price,filled_size,filled_price,mempool_detected_at,livedata_detected_at,polygon_logs_detected_at,data_api_detected_at,first_detector,is_confirmed,mempool_to_confirm_ms,outcome,timestamp_unix,order_type,notes
0x2f0910192a7be393935599d467011258d135af50ec1a7086f5378fdc9107afc9,SELL,2.75,0.0500,2.75,0.06,10:39:11.306,---,---,10:39:30.987,MEMPOOL,YES,19681,Up,1764668354,TAKER,Confirmed via DATA_API
0xf2452723e96bb74b12af9f7bb7c6400f8a353af738f1b79470b4971e17a947b8,BUY,10.53,0.9500,10.64,0.06,10:39:11.449,---,---,10:39:30.987,MEMPOOL,YES,19538,Up,1764668354,TAKER,Confirmed via DATA_API
0x6641f622f7d7eb2edd858819a62524373d48ff395f000a6d4b58e3edc9e0b8ed,BUY,6.00,0.9600,6,0.06,10:39:11.553,---,---,10:39:30.987,MEMPOOL,YES,19434,Up,1764668354,TAKER,Confirmed via DATA_API
0x1c74636826e33bf4dae20f4b6983307e0a8ce1a072e6d0e1e759381d9319da41,BUY,20.00,0.9400,20,0.06,10:39:11.787,---,---,---,MEMPOOL,YES,---,Up,1764668354,TAKER,Confirmed via DATA_API
0x3b39ee54de560a73ef6f8c7a9fe267f0dcb38127741a0e2be586467bd2a19dfa,BUY,6.00,0.9500,6,0.06,10:39:12.278,---,---,---,MEMPOOL,YES,---,Up,1764668354,TAKER,Confirmed via DATA_API
0xad5648d7e20be2c7abe742b50fb1f2ecfe86a28c8789ccce8dbb313adb37f406,BUY,106.38,0.9400,64.38,0.06,10:39:16.118,---,---,10:39:30.987,MEMPOOL,YES,14869,Up,1764668358,TAKER,Confirmed - partial fill
0xccdde4a1f8691492e0af32d153b3368f88bf8e5bca4889312715b589777c47e8,SELL,37.00,0.9400,37,0.94,10:39:18.738,10:39:22.982,10:39:22.133,10:39:30.987,MEMPOOL,YES,3395,Down,1764668362,TAKER,Confirmed via LIVEDATA
0x6373661f056186f50233386e21b5e3c159d44cb71be51aaf9e434c5669530fce,BUY,15.00,0.9500,15,0.06,10:39:19.332,---,---,10:39:30.987,MEMPOOL,YES,11655,Up,1764668362,TAKER,Confirmed via DATA_API
0xf92c03c840751c804dcca3384c7a3219a441a02726a2de8885cc790933ea9b7a,BUY,26.00,0.0600,18,0.06,10:39:19.537,10:39:22.971,10:39:22.137,10:39:30.987,MEMPOOL,YES,2600,Up,1764668362,TAKER,Confirmed - partial fill
0x16c08df346fc4f1254a4fcaaa704a8d29418e1e700db1ea65118051a42dab70e,BUY,6.00,0.9500,6,0.05,10:39:30.098,---,---,10:40:03.011,MEMPOOL,YES,32913,Up,1764668374,TAKER,Confirmed via DATA_API
0xedcac772c56449cc937be3e0e7a00e283f04dff75801299ac1435c445fc79bd6,BUY,10.00,0.9500,2.54,0.05,10:39:30.660,---,---,10:40:03.011,MEMPOOL,YES,32351,Up,1764668372,TAKER,Confirmed - partial fill
0xfcf292bc5a0c1387c9c38cb25da6dae4ea910533b06129ab07cd537a47e920bc,BUY,20.00,0.9500,20,0.05,10:39:30.664,---,---,10:40:03.011,MEMPOOL,YES,32347,Up,1764668374,TAKER,Confirmed via DATA_API
0x213a1e6b06654cafc71977280097eed78a7394f8280c804daea1a3be843a3731,BUY,6.00,0.9500,3.46,0.05,10:39:30.672,---,---,10:40:03.011,MEMPOOL,YES,32339,Up,1764668374,TAKER,Confirmed - partial fill
0xd118526f1bc10a28a973c4e68c54cf4a2365e204bc102424cd06fd8dbf434a82,BUY,204.08,0.9800,7,0.03,10:39:51.986,---,---,10:40:03.011,MEMPOOL,YES,11025,Up,1764668394,TAKER,Confirmed - very partial fill
0x6f331a13661da2258a9cd2cc7968a1e9dfebdfbc8033d18131c934ac5d33d444,BUY,216.00,0.5900,216,0.56,10:45:18.137,10:45:21.151,10:45:20.287,10:45:46.974,MEMPOOL,YES,2150,Down,1764668720,TAKER,Confirmed via LIVEDATA
0x816a334b732ed6597d890425237c23e0c164a685e73d7f13c0e56c1be37d97c0,BUY,216.00,0.5900,216,0.57,10:45:18.876,10:45:23.087,10:45:22.205,10:45:46.974,MEMPOOL,YES,3329,Down,1764668722,TAKER,Confirmed via LIVEDATA
0x81a27450d3de1fb035bb56eb973ca4b708b582628d7230f202e93af15603a42e,BUY,216.00,0.5900,216,0.57,10:45:18.876,10:45:23.056,10:45:22.199,10:45:46.974,MEMPOOL,YES,3323,Down,1764668722,TAKER,Confirmed via LIVEDATA
0x37bbee6f8eb36d97f635648471a3b7260f55be84bfcd66f75c97f5e24ded1568,BUY,151.00,0.5900,151,0.585,10:45:18.989,10:45:23.121,10:45:22.205,10:45:46.974,MEMPOOL,YES,3216,Down,1764668722,TAKER,Confirmed via LIVEDATA
0x5ee32d80bcef494144c606783739be03fb0275553a6343bb7dd23a566c87e137,BUY,22.00,0.5900,22,0.59,10:45:19.120,10:45:23.002,10:45:22.198,10:45:46.974,MEMPOOL,YES,3078,Down,1764668722,TAKER,Confirmed via LIVEDATA
0xb7d36219e15eb14fb12e55743fffcaa11a9ec6808adec255287037ede12f3c22,BUY,22.00,0.5900,22,0.59,10:45:19.348,10:45:23.049,10:45:22.218,10:45:46.974,MEMPOOL,YES,2870,Down,1764668722,TAKER,Confirmed via LIVEDATA
0x85d14ac1a7e91848308a96c4effd54b5ad120dcbb25fd65d24834f4ad0aac203,SELL,64.00,0.4400,64,0.44,---,10:45:49.068,10:45:48.556,---,POLYGON_LOGS,YES,---,Down,1764668748,MAKER,Not seen in mempool - MAKER order
0x7c2fc32ae6dc65c300c561b29d6b8dcda5438390a4215a0421b8f463ba1d7d33,SELL,216.00,0.4400,216,0.44,---,10:45:51.243,10:45:50.787,---,POLYGON_LOGS,YES,---,Down,1764668750,MAKER,Not seen in mempool - MAKER order
0x2b21930b1d72349081914c3b4c0b42166147c4634a8eab5bdc1b480f25e8b743,SELL,216.00,0.4200,216,0.42,---,10:45:53.319,10:45:52.193,10:46:17.020,POLYGON_LOGS,YES,---,Down,1764668752,MAKER,Not seen in mempool - MAKER order
0x3db805c9074e9124750ccbd8032979e8a65316a3e7946bcbd1ab9723707d75b4,BUY,99.00,0.4600,103.5,0.56,10:45:52.569,---,---,10:46:17.020,MEMPOOL,YES,24451,Up,1764668754,TAKER,Confirmed via DATA_API
0x15ad43bff59e3285715b555a78f74d5a29b2b0903b1f54c5dac5b1f4e0b37a5d,BUY,20.00,0.4600,20,0.56,10:45:53.014,---,---,10:46:17.020,MEMPOOL,YES,24006,Up,1764668754,TAKER,Confirmed via DATA_API
0xc6b16cba9c61507bcaeba1b9a290704ffdc68478b48669f97f5eab35a9815be4,BUY,20.00,0.4400,14.95,0.56,10:45:53.025,---,---,10:46:17.020,MEMPOOL,YES,23995,Up,1764668754,TAKER,Confirmed - partial fill
0xca4e8437a592a6f4e7388c330dad89a70432bb3f31274a08b7f8e25381210433,BUY,16.00,0.4600,16.73,0.56,10:45:53.531,---,---,10:46:17.020,MEMPOOL,YES,23489,Up,1764668754,TAKER,Confirmed via DATA_API
0xa243cbd2fcb0b2ddab6a447549411e637af69a29c7a2b7b7abf0e94afc5d9c6e,SELL,14.00,0.5300,14,0.56,10:45:53.534,---,---,10:46:17.020,MEMPOOL,YES,23486,Up,1764668754,TAKER,Confirmed via DATA_API
0xc1fadcb6bcc0607d890fa9efe33b2bbf8c497fddd8864742e5d25e65e51f660a,BUY,16.00,0.4487,16.32,0.56,10:45:53.540,---,---,10:46:17.020,MEMPOOL,YES,23480,Up,1764668754,TAKER,Confirmed via DATA_API
0x1fec18f0421423ba65417f3c0a5c61f56c4ca948a4f24bb09a8d6a17f890bb03,BUY,12.00,0.4800,12,0.52,10:45:53.540,---,---,10:46:17.020,MEMPOOL,YES,23480,Up,1764668754,TAKER,Confirmed via DATA_API
0xb162918e4f2132c838ef86adf779a51cf13126f72a679674be51fca1f3d9b0dd,BUY,14.00,0.5600,14,0.56,---,---,---,10:46:17.020,DATA_API,YES,---,Up,1764668754,MAKER,Not seen in mempool - MAKER order
0xb3a12b91e94a847bb055e2658b4c85acf9249fda51fa944f09455160883ec529,BUY,16.50,0.5600,16.5,0.56,---,---,---,10:46:17.020,DATA_API,YES,---,Up,1764668754,MAKER,Not seen in mempool - MAKER order
