mempool_tx_hash,mempool_from,mempool_to,mempool_contract_name,livedata_detected_at,mempool_detected_at,mempool_gas_price,mempool_gas,mempool_nonce,mempool_max_fee_per_gas,mempool_max_priority_fee,mempool_value,mempool_input_len,mempool_decoded,mempool_side,mempool_token_id,,,,mempool_price,mempool_role,mempool_maker_address,mempool_taker_address,mempool_signer_address,mempool_expiration,mempool_order_nonce,mempool_fee_rate_bps,mempool_fill_amount,mempool_maker_amount,mempool_taker_amount,mempool_size,livedata_size,mempool_order_count,mempool_function_sig,mempool_signature_type,mempool_salt_hex,livedata_side,,livedata_price,polygon_logs_detected_at,data_api_detected_at,data_api_side,data_api_size,data_api_price,first_detector,is_confirmed,mempool_to_confirm_ms,outcome
0x83d19f52ea554b1b2505f46abc92840d94286d9f62c8a77f4ea17e7cd6bba2be,0x125914b1d921d83367a0478f4ea6447aff2ee9da,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,12:31:01,12:30:57,0xba43b74000,0x124f80,6487945,0xba43b74000,0x826299e00,0x0,2148,TRUE,SELL,3.67317E+76,,,,0.31,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675115,0,0,73000000,73000000,22630000,73,67,1,fillOrders,0,0x0000000000000000000000000000000000000000000000000000000025d8463c,SELL,,0.31,12:31:00,12:31:35,SELL,67,0.31,MEMPOOL,TRUE,4503,Up
0xec14589b0d4b340cf64d73b5615c2219d28943c1d1380fa757f99dd12984d9be,0x7210dd22a1461e6f44701d3d97f4a9f452b144e1,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:57,0xba43b74000,0xdbba0,5804280,0xba43b74000,0x826299e00,0x0,1508,TRUE,SELL,3.67317E+76,,,,0.31,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675116,0,0,73000000,73000000,22630000,73,0,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000253eca86,,,0,,12:31:35,SELL,11.032257,0.31,MEMPOOL,TRUE,37997,Up
0xbff7e6ea0acded31933fbb5947cc24c269bbeb8eaa95f980523854b738090e93,0x19a130e5ec3167d53a5a36f59f48a46d48457425,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:57,0xba43b74000,0xdbba0,5805998,0xba43b74000,0x826299e00,0x0,1508,TRUE,SELL,3.67317E+76,,,,0.31,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675116,0,0,73000000,73000000,22630000,73,0,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000253eca86,,,0,,12:31:35,SELL,46.451611,0.31,MEMPOOL,TRUE,37989,Up
0x0f202a8743dde46d8582ff16f4ca7a381c2dabe14469d6725abec7f9feb8db1a,0x4bdb16a35fc5fdc4a8701bc5b688d254e99027c0,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:58,0xba43b74000,0x16e360,5805423,0xba43b74000,0x826299e00,0x0,2788,TRUE,SELL,3.67317E+76,,,,0.31,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675116,0,0,20000000,20000000,6200000,20,0,1,fillOrders,0,0x000000000000000000000000000000000000000000000000000000000d1ed770,,,0,,12:31:35,SELL,20,0.31,MEMPOOL,TRUE,37583,Up
0x8da9ce7897338a6d59beb01b56efa043d7856bd3fe10975ba5087595061cb07f,0x769598dc61e5fb3d0db4ee969b4a10eef564de7a,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:58,0xba43b74000,0x2932e0,6488279,0xba43b74000,0x826299e00,0x0,5348,TRUE,SELL,3.67317E+76,,,,0.31,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675116,0,0,53000000,53000000,16430000,53,0,1,fillOrders,0,0x00000000000000000000000000000000000000000000000000000000192c692e,,,0,,12:31:35,SELL,53,0.31,MEMPOOL,TRUE,37491,Up
0xf7ee0c93cc1fbf355b60f635f63217e83ecb52e86bdd9335d0256d3f9037625d,0x6648e365a1b072797ee871d45691aead31b9d016,0xe3f18acc55091e2c48d883fc8c8413319d4ab7b0,NegRiskAdapter,,12:30:58,0xba43b74000,0xdbba0,6471229,0xba43b74000,0x826299e00,0x0,1508,TRUE,SELL,3.67317E+76,,,,0.31,MAKER,0x05c1882212a41aa8d7df5b70eebe03d9319345b7,0x0000000000000000000000000000000000000000,0xa801c456d654454b285b3a7d413e12b74838d045,1764675116,0,0,39000000,39000000,12090000,39,0,1,fillOrders,0,0x0000000000000000000000000000000000000000000000000000000060390390,,,0,,12:31:35,SELL,39,0.31,MEMPOOL,TRUE,37476,Up
0x1188e502ac0dc7e38e4350c1c53fe8689407b87d3696dc04826218f666cef53a,,,,12:31:03,,,,0,,,,0,FALSE,,,,,,0,,,,,0,,0,,,,0,7,0,,0,,SELL,,0.3,12:31:02,12:31:35,SELL,7,0.3,POLYGON_LOGS,TRUE,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,233280000,,,,,,,,,,,,,,,,,,,
