tx_hash,timestamp_detected,timestamp_tx,method,shares,outcome,side,token_id,price,mempool_detected_at,mempool_shares,mempool_side,mempool_price,mempool_outcome,mempool_role,mempool_maker_amount,mempool_taker_amount,mempool_fill_amount,livedata_detected_at,livedata_shares,livedata_side,livedata_price,livedata_outcome,polygon_detected_at,polygon_shares,polygon_side,polygon_price,polygon_token_id,data_api_detected_at,data_api_shares,data_api_side,data_api_price,data_api_outcome,data_api_token_id,clob_detected_at,clob_shares,clob_side,clob_price,clob_outcome,clob_token_id,first_method
0x1350182411a86c779b51f78ba8d44dfe942a0e8620c3484290941267f5809e56,2025-12-02T19:44:14.024+01:00,2025-12-02T19:44:16Z,MEMPOOL,93.520000,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.940000,2025-12-02T19:44:14.024+01:00,111.000000,SELL,0.940000,Up,MAKER,216000000,203040000,111000000,,0.000000,,0.000000,,2025-12-02T19:44:16.231+01:00,93.520000,SELL,0.940000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,93.520000,SELL,0.940000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0xb7aeb192c7f182148fbbd99a6dfc8e7a1ee18d9bfb31f1dcd15e44908f1d234d,2025-12-02T19:44:15.179+01:00,2025-12-02T19:44:18Z,MEMPOOL,91.263140,Down,BUY,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.050000,2025-12-02T19:44:15.179+01:00,105.263140,BUY,0.050000,Down,MAKER,10800000,216000000,105263140,,0.000000,,0.000000,,2025-12-02T19:44:18.216+01:00,91.263140,BUY,0.050000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,91.263140,BUY,0.050000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0xf30ce5d966cc72ac500790457d544fd05da0eace9469fbe6c726f018cc7215db,2025-12-02T19:44:15.894+01:00,2025-12-02T19:44:18Z,MEMPOOL,12.410000,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:15.894+01:00,20.410000,SELL,0.950000,Up,MAKER,216000000,205200000,20410000,,0.000000,,0.000000,,2025-12-02T19:44:18.227+01:00,12.410000,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,12.410000,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x9aa641f70a9c195f95bb274337478a061d8ea6752d29ae84e3e9c9e8d31b7280,2025-12-02T19:44:16.187+01:00,2025-12-02T19:44:16Z,POLYGON_LOGS,2.105262,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,,0.000000,,0.000000,,,,,,,0.000000,,0.000000,,2025-12-02T19:44:16.187+01:00,2.105262,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,2.105262,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,POLYGON_LOGS
0x11cffcef354816a5a27569abcc888b7ef46331fde47bd8d972f31c39aa85fa09,2025-12-02T19:44:16.193+01:00,2025-12-02T19:44:20Z,MEMPOOL,124.730000,Down,BUY,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.050000,2025-12-02T19:44:16.193+01:00,1238.277550,BUY,0.050000,Down,MAKER,10800000,216000000,1238277550,,0.000000,,0.000000,,2025-12-02T19:44:20.376+01:00,124.730000,BUY,0.050000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,124.730000,BUY,0.050000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0x68229dc67f2c35d0ccc758e026a3193c2ca7bbad9f50abcd80ecfe2f96eed7d2,2025-12-02T19:44:16.392+01:00,2025-12-02T19:44:20Z,MEMPOOL,7.900000,Up,SELL,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.950000,2025-12-02T19:44:16.392+01:00,7.900000,SELL,0.950000,Up,MAKER,216000000,205200000,7900000,,0.000000,,0.000000,,2025-12-02T19:44:20.411+01:00,7.900000,SELL,0.950000,25196530153819175930803470474486553877881838501291458149850000064556168756046,2025-12-02T19:44:41.574+01:00,7.900000,SELL,0.950000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
0x7760fe7ace2b664971811a47387c843e1795ff0b9f550b692a869b40ea927cb1,2025-12-02T19:44:17.328+01:00,2025-12-02T19:44:20Z,MEMPOOL,5.326300,Down,BUY,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.050000,2025-12-02T19:44:17.328+01:00,106.326300,BUY,0.050000,Down,MAKER,10800000,216000000,106326300,,0.000000,,0.000000,,2025-12-02T19:44:20.468+01:00,5.326300,BUY,0.050000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,5.326300,BUY,0.050000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0xc75bdf2a6f177ff14cd8bf924c64dc649c33cea53b91d7d7b589aef90a42e9f7,2025-12-02T19:44:17.477+01:00,2025-12-02T19:44:20Z,MEMPOOL,3.060000,Down,BUY,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.060000,2025-12-02T19:44:17.477+01:00,13.060000,BUY,0.060000,Down,MAKER,12960000,216000000,13060000,,0.000000,,0.000000,,2025-12-02T19:44:20.468+01:00,3.060000,BUY,0.060000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,3.060000,BUY,0.060000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0x40a1e8cd723af5c14f1de7ce579e812896f3204f34558b0ed8db9b457ac82944,2025-12-02T19:44:20.382+01:00,2025-12-02T19:44:24Z,MEMPOOL,29.411760,Down,BUY,72418901714707682788665789696289422965317649937589827253265381901398990720379,0.150000,2025-12-02T19:44:20.382+01:00,29.411760,BUY,0.150000,Down,MAKER,75600000,504000000,29411760,,0.000000,,0.000000,,2025-12-02T19:44:24.270+01:00,29.411760,BUY,0.150000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,29.411760,BUY,0.150000,Down,72418901714707682788665789696289422965317649937589827253265381901398990720379,,0.000000,,0.000000,,,MEMPOOL
0x8f5a9ece6d10322aa0749ad1de26306eb2b03d54a39c128f70ff93335e44d7aa,2025-12-02T19:44:26.259+01:00,2025-12-02T19:44:30Z,MEMPOOL,279.000000,Up,BUY,25196530153819175930803470474486553877881838501291458149850000064556168756046,0.800000,2025-12-02T19:44:26.259+01:00,279.000000,BUY,0.810000,Up,MAKER,225990000,279000000,279000000,2025-12-02T19:44:30.934+01:00,279.000000,BUY,0.800000,Up,2025-12-02T19:44:30.502+01:00,279.000000,SELL,0.200000,72418901714707682788665789696289422965317649937589827253265381901398990720379,2025-12-02T19:44:41.574+01:00,279.000000,BUY,0.800000,Up,25196530153819175930803470474486553877881838501291458149850000064556168756046,,0.000000,,0.000000,,,MEMPOOL
